prompt,A,B,C,D,E,answer
Who owns and operates Vršac Airport in Serbia?,Vršac Airport is mainly owned and operated by the Serbian Air Force. The airport is used for military training exercises.,Vršac Airport is mainly owned and operated by the Serbian Ministry of Transportation. The airport is occasionally used by private individuals for training purposes.,Vršac Airport is mainly owned and operated by a consortium of private aviation companies. The airport serves as a hub for regional air travel.,Vršac Airport is mainly owned and operated by a local municipality. The airport is primarily used for tourism purposes.,Vršac Airport is mainly owned and operated by the SMATSA Aviation Academy. The airport is primarily used as a training facility.,E
"When was Emily Ayckbowm, the founder of the Community of the Sisters of the Church, born?",1870,1785,1836,1954,1900,C
"What was the body style options for the MG D-type ""Midget"" sports car?","The MG D-type ""Midget"" was only available as a two-seater coupe.","The MG D-type ""Midget"" was only available as a four-seater open tourer.","The MG D-type ""Midget"" had a convertible and a sedan option.","The MG D-type ""Midget"" had various body styles including four-seater open tourer, two-seater coupe, convertible, and sedan.","The MG D-type ""Midget"" had both four-seater open tourer and two-seater coupe options.",B
What is the colloquial moniker of the camouflage pattern used as the default camouflage pattern for the United States Armed Forces from 1981 until its replacement in the mid to late 2000s?,M81,Battle Dress Uniform,U.S. Woodland,Irregular markings,Disruptive Pattern,A
What were Isaac Hays' significant contributions to the medical field?,Isaac Hays led groundbreaking research in the field of stem cell therapy.,Isaac Hays made significant contributions to the understanding of colorblindness and astigmatism.,Isaac Hays discovered the structure of DNA and its role in heredity.,Isaac Hays revolutionized surgical techniques and invented various medical devices.,Isaac Hays pioneered the use of anesthesia in surgeries.,B
Where does Paddy Jackson currently play rugby?,"London Irish, in the Gallagher Premiership.",Irish provincial club.,"Perpignan, in France.","Ulster, in the Pro12.","Lyon OU, in the Top 14, in France.",E
What are the natural habitats of Microcaecilia nicefori?,"Microcaecilia nicefori can be found in various habitats, including subtropical or tropical moist lowland forests, arable land, pastureland, plantations, rural gardens, heavily degraded former forest, and irrigated land.","Microcaecilia nicefori is commonly found in the temperate rainforests of Colombia, specifically in the canopy layer of tall trees.",Microcaecilia nicefori is primarily found in coral reefs and rocky shorelines along the coast of Colombia.,"Microcaecilia nicefori is endemic to Colombia and is found in freshwater lakes, rivers, and streams.","Microcaecilia nicefori is mainly found in the high-altitude mountain ranges of Colombia, in rocky crevices and caves.",A
Which coastal region is situated between the Costa Brava and the Costa de Barcelona along the Catalan coast?,Costa Calida,Costa Blanca,Costa del Maresme,Costa del Azahar,Costa del Sol,C
"What is the population of Culciu commune in Satu Mare County, Romania?","Culciu commune has a population of 1,956 inhabitants, with its center situated in Culciu Mare, and composed of three villages.","Culciu commune has a population of 3,751 inhabitants, with its center situated in Culciu Mare, and composed of six villages.","Culciu commune has a population of 2,475 inhabitants, with its center situated in Culciu Mare, and composed of four villages.","Culciu commune has a population of 4,215 inhabitants, with its center situated in Culciu Mare, and composed of eight villages.","Culciu commune has a population of 3,022 inhabitants, with its center situated in Culciu Mare, and composed of five villages.",B
What is one of the effects of the battle injury sustained by Albert I of Habsburg?,"The impairment of his depth perception, making it difficult for him to judge distances accurately.","The involuntary twitching of his facial muscles, causing him to have a permanent snarl.","The loss of his ability to see out of his left eye, resulting in him being referred to as 'Albert the One-eyed' due to a permanent snarl.",The development of an eye condition that caused him to have chronic headaches and impaired vision.,"The formation of a large scar on his face, making him disfigured for the rest of his life.",C
What is the location of the village Handley mentioned in the excerpt?,"Handley is located along the A41 road, which has been re-routed further to the east.","Handley is located in the unitary authority of Cheshire West and Chester, England.","Handley is located in the ceremonial county of Cheshire, England.",Handley is located approximately 2 miles (3.2 km) east of Tattenhall.,Handley is located north west of the hamlet of Milton Green.,B
What notable invention is Winfield Scott Sims known for?,Winfield Scott Sims is known for inventing a pioneering medical device.,Winfield Scott Sims is known for inventing a revolutionary heating system.,Winfield Scott Sims is known for inventing a groundbreaking transportation device.,Winfield Scott Sims is known for inventing an innovative energy storage system.,Winfield Scott Sims is known for inventing a cutting-edge communication device.,E
"What is the official name of the 1,944-meter high mountain summit in the North Cascades of southwestern British Columbia?",Gamuza Peak,Chamois Summit,Pyramid Peak,Granite Pass Peak,Steinbok Peak,A
What is the significance of the 81st Mechanised Brigade's name?,"The 81st Mechanised Brigade is named after Grigore Bălan, a brigadier general in World War II, who was killed in action during the liberation of Transylvania in 1944.","The 81st Mechanised Brigade is named after its headquarters in Bistrița, Romania.","The 81st Mechanised Brigade is named after the 4th Infantry Division ""Gemina"", to which it is subordinated.",The 81st Mechanised Brigade is named in honor of its establishment on 1 March 1995.,The 81st Mechanised Brigade is named after its subordination to the Romanian Land Forces.,A
What positions does Aleksei Igorevich Skvortsov play in football according to Wikipedia?,Goalkeeper,Right winger or forward,Left midfielder,Defensive midfielder,Centre back,B
"How many structures have housed court functions and county administration in Mason City, Iowa, United States?","The Cerro Gordo County Courthouse is located in Mason City, Iowa, United States. The courthouse is the fourth structure to house court functions and county administration.","The Cerro Gordo County Courthouse is located in Mason City, Iowa, United States. The courthouse is the second structure to house court functions and county administration.","The Cerro Gordo County Courthouse is located in Mason City, Iowa, United States. The courthouse is the third structure to house court functions and county administration.","The Cerro Gordo County Courthouse is located in Mason City, Iowa, United States. The courthouse is the first structure to house court functions and county administration.","The Cerro Gordo County Courthouse is located in Mason City, Iowa, United States. The courthouse is the fifth structure to house court functions and county administration.",A
Who is Mujeeb Ur Rahman Zadran?,"A Bangladeshi cricketer, who plays for the Afghanistan national cricket team.","An Afghan cricketer, who plays for the Afghanistan national cricket team. ","A Sri Lankan cricketer, who plays for the Afghanistan national cricket team.","An Indian cricketer, who plays for the Afghanistan national cricket team. ","A Pakistani cricketer, who plays for the Afghanistan national cricket team. ",B
Which of the following statements accurately describes the ecological distribution of Humboldtia laurifolia?,"Humboldtia laurifolia is exclusively found in the highland regions of Sri Lanka, specifically in the montane cloud forests above 1,000 meters elevation.","Humboldtia laurifolia is a rare species that has only been reported from a few isolated locations in Kerala and Sri Lanka, mostly in protected areas and nature reserves.",Humboldtia laurifolia is primarily endemic to the rainforests of Kerala and Sri Lanka and has not been recorded in any other regions or countries.,"Humboldtia laurifolia is found in various regions of India and Sri Lanka, particularly in forests and wetlands. It has also been observed in neighboring countries such as Nepal and Bangladesh.","Humboldtia laurifolia is a highly adaptable species that can be found in a wide range of habitats across the Indian subcontinent and Sri Lanka, from the Western Ghats to coastal areas and even urban environments.",C
What is the Spence Shale known for?,Its abundant Cambrian trilobites and the preservation of Burgess Shale-type fossils.,Its diverse plant and animal fossils from the Jurassic period.,Its unique rock formations and geological structures.,Its rich mineral deposits and valuable gemstones.,Its extensive network of underground caves and subterranean rivers.,A
"What is the ancient name of the town currently known as Egra in West Bengal, India?",West Bengal,India,Purba Medinipur,Egra,Agrapattan,E
Which country is Orlov's mole primarily found in?,Laos,Vietnam,China,None of the above,Russia,B
What artistic movement was Pyotr Petrovich Konchalovsky a member of?,"Pyotr Petrovich Konchalovsky was a member of the Dada movement, known for its rejection of traditional artistic values and its embrace of irrationality and absurdity.","Pyotr Petrovich Konchalovsky was a member of the Knave of Diamonds movement, known for its exploration of primitivism and the use of bold, expressive colors.","Pyotr Petrovich Konchalovsky was a member of the Constructivist movement, known for its focus on abstract geometric forms and the use of industrial materials.","Pyotr Petrovich Konchalovsky was a member of the Impressionist movement, known for its emphasis on capturing fleeting moments and the beauty of light and color.","Pyotr Petrovich Konchalovsky was a member of the Pop Art movement, known for its use of popular culture imagery and techniques of commercial art.",B
"What can be deduced from the excerpt about the album ""Oolooloo"" by the Pietasters?","""Oolooloo"" is the first album by the Pietasters, released in 1995.","""Oolooloo"" is the third album by the Pietasters, released in 1995.","""Oolooloo"" is a compilation album by the Pietasters, released in 1995.","""Oolooloo"" is a live album by the Pietasters, released in 1995.","""Oolooloo"" is the second album by the Pietasters, released in 1995.",E
How are perennial rice varieties different from other kinds of rice?,Perennial rice is a genetically distinct type of rice that is capable of regrowing season after season without reseeding.,Perennial rice is a type of rice that exhibits multi-mode vibration.,"Perennial rice is a type of rice that reproduces exclusively through flowers, pollen, and seeds.",Perennial rice is a theory that suggests the distribution of electromagnetic radiation is disproven.,"Perennial rice is genetically identical to other kinds of rice, but it is adapted for different climates and cropping systems.",A
"Which of the following describes the function of Krishna Rajendra Hospital and Cheluvamba Hospitals in Mysore, India?",Krishna Rajendra Hospital and Cheluvamba Hospitals are psychiatric hospitals providing mental health services.,Krishna Rajendra Hospital and Cheluvamba Hospitals are research institutions focused on medical advancements.,Krishna Rajendra Hospital and Cheluvamba Hospitals are primary care centers primarily catering to local residents.,Krishna Rajendra Hospital and Cheluvamba Hospitals are rehabilitation centers specializing in physical therapy.,Krishna Rajendra Hospital and Cheluvamba Hospitals are tertiary referral centers and teaching hospitals attached to the Mysore Medical College.,E
What is the population of Qeqertarsuatsiaat in 2020 according to the provided Wikipedia excerpt?,100,145,169,120,185,C
What was the population of Zvyozdny according to the 2010 Census?,"1,500","1,228",957,"3,000","2,894",C
What is the name of the visitor center at NASA's Kennedy Space Center on Merritt Island in Florida?,Merritt Island Space Center,Merritt Island Space Museum,Kennedy Space Center Visitor Complex,Neil Armstrong Space Center,Kennedy Spaceport Experience,C
What is the significance of the Salt River in California?,The Salt River is a currently navigable hanging channel of the Eel River that flows into the Pacific Ocean.,The Salt River is a river in California that was artificially created through water diversion efforts.,The Salt River is a historically important river that intersects and drains tributaries from the Wildcat Hills.,The Salt River is a formerly navigable hanging channel of the Eel River that was closed due to siltation caused by logging and agricultural practices.,The Salt River is a river in California that has been completely restored since its closure in the early 20th century.,D
How many races were held during the 2016 Wilson Security Sandown 500?,"Five races, including the Sandown 500.",Four races of equal length.,One race of 445 kilometers in length.,Two races of equal length.,Three races of varying lengths.,C
What is the Bishop Ryan Xpression?,"The Bishop Ryan Xpression is a 250-voice contemporary youth vocal ensemble based at Bishop Ryan Catholic Secondary School in Hamilton, Ontario. It is directed by Dave Tabone, a music teacher and head of the school's arts department. It was established in 1999. ","The Bishop Ryan Xpression is a 10-member comedy improv group based at Bishop Ryan Catholic Secondary School in Hamilton, Ontario. It is directed by Dave Tabone, a drama teacher and head of the school's arts department. It was established in 1999. ","The Bishop Ryan Xpression is an 80-piece symphonic band based at Bishop Ryan Catholic Secondary School in Hamilton, Ontario. It is directed by Dave Tabone, a music teacher and head of the school's arts department. It was established in 1999. ","The Bishop Ryan Xpression is a dance troupe specializing in ballet performances based at Bishop Ryan Catholic Secondary School in Hamilton, Ontario. It is directed by Dave Tabone, a dance instructor and head of the school's arts department. It was established in 1999. ","The Bishop Ryan Xpression is a 50-member gospel choir based at Bishop Ryan Catholic Secondary School in Hamilton, Ontario. It is directed by Dave Tabone, a music teacher and head of the school's arts department. It was established in 1999. ",A
What is one of Ingjerd Hanevold's notable designs?,Ingjerd Hanevold designed the costumes for a critically acclaimed Norwegian film.,Ingjerd Hanevold designed the official logo for the Asker municipality.,Ingjerd Hanevold designed the architectural plans for the Oslo National Academy of the Arts.,Ingjerd Hanevold designed the Olympic medals for the 1994 Winter Olympics.,Ingjerd Hanevold designed the iconic jewelry collection for a famous Norwegian fashion brand.,D
Which zone is Crayford railway station located in?,Zone 6,Zone 1,Zone 12,Zone 9,Zone 3,A
What historical events occurred in July 1900?,"The Eiffel Tower was completed in Paris, France, becoming a prominent symbol of architectural innovation.","The Wright brothers successfully flew their first powered aircraft in Kitty Hawk, North Carolina.","The Battle of Gettysburg took place in the American Civil War, resulting in a decisive Union victory.",The signing of the Treaty of Versailles marked the end of World War I and the establishment of new borders and reparations.,"The sinking of the RMS Titanic occurred in the North Atlantic Ocean, resulting in one of the deadliest maritime disasters in history.",A
What is the population of Lehaucourt?,Lehaucourt is a tiny commune with a population of approximately 100 people.,Lehaucourt is a heavily populated commune with a population of approximately 1 million people.,"Lehaucourt is a medium-sized commune with a population of approximately 10,000 people.","Lehaucourt is a small commune with a population of approximately 2,000 people.","Lehaucourt is a large commune with a population of approximately 50,000 people.",D
In which events did Konrad Sebastian Winkler compete at the 1924 Summer Olympics?,Individual sabre and team foil,Individual foil and team sabre,Individual epee and team sabre,Individual sabre and team epee,Individual foil and team epee,B
What awards have Ponderosa Valley Vineyards & Winery wines won in various competitions?,Ponderosa Valley Vineyards & Winery wines have won awards in the James Beard Foundation Awards and the Michelin Guide.,Ponderosa Valley Vineyards & Winery wines have won awards in the Indy International Competition and the Colorado State Fair and New Mexico State Fair wine competitions.,Ponderosa Valley Vineyards & Winery wines have won awards in the Napa Valley Wine Competition and the International Wine Challenge.,Ponderosa Valley Vineyards & Winery wines have won awards in the Tony Awards and the Grammy Awards.,Ponderosa Valley Vineyards & Winery wines have won awards in the World Beer Cup and the Great American Beer Festival.,B
What is Aphysoneura?,A genus of butterflies in the family Nymphalidae.,A genus of butterflies that migrate long distances.,A genus of butterflies in the subfamily Satyrinae.,A genus of butterflies specializing in aerial acrobatics.,A genus of butterflies known for their vibrant colors.,C
What was Seán McLoughlin's role during the Easter Rising in Ireland?,Irish Republican Army fighter,Na Fianna Éireann leader,Commandant-general,Irish nationalist and communist activist,British socialist party member,C
In what position did Mario Kasun play during his professional basketball career?,Power forward,Point guard,Center,Shooting guard,Small forward,C
What was the name and slogan of the unionist mass protest campaign against the 1985 Anglo-Irish Agreement?,Ulster Says No,Peace People,Battle of the Bogside,Good Friday Agreement,Operation Demetrius,A
"What is the name of the private company that has been running the Belgrano Norte line commuter rail service in Buenos Aires, Argentina since 1 April 1994?",Trenes Argentinos,Unidad de Gestión Operativa Ferroviaria de Emergencia (UGOFE),General Belgrano Railway,Buenos Aires Railways Consortium,Ferrovías,E
What is the significance of the Zoltan hand gesture?,The Zoltan hand gesture is used as a secret symbol among members of a secret society in Pittsburgh.,The Zoltan hand gesture is believed to bring good luck to those who perform it.,"The Zoltan hand gesture gained popularity through its depiction in the movie ""Dude, Where's My Car?"" and among fans of the Pittsburgh Pirates.",The Zoltan hand gesture originated from a popular dance move in the early 2000s.,"The Zoltan hand gesture is commonly used in American Sign Language to represent the letter ""Z"".",C
Why is USS Gabrielle Giffords (LCS-10) significant in terms of naming conventions for U.S. naval ships?,USS Gabrielle Giffords (LCS-10) is the 13th U.S. naval ship to be named after a living person since 1850.,USS Gabrielle Giffords (LCS-10) is the 10th U.S. naval ship to be named after a former United States Representative.,USS Gabrielle Giffords (LCS-10) is the 16th U.S. naval ship to be named after a woman by the United States Navy.,USS Gabrielle Giffords (LCS-10) is the first U.S. naval ship to be named after a living person since 1850.,USS Gabrielle Giffords (LCS-10) is the first U.S. naval ship to be named after a former United States Representative who survived a shooting incident in 2011.,C
What is crurophilia?,Crurophilia refers to a sexual fetish exclusively focused on the attraction to thighs.,Crurophilia is a sexual fetish centered around a particular attraction to calves.,Crurophilia is a sexual fetish associated with a specific preference for knees.,Crurophilia is a sexual fetish characterized by the love for stockings.,Crurophilia is a sexual fetish related to the admiration of thigh-high boots.,A
What was Emory Wendell Clark II's achievement in the Olympics?,Emory Wendell Clark II won a silver medal in the fours at the 1964 Olympics.,Emory Wendell Clark II did not participate in the 1964 Olympics.,Emory Wendell Clark II won a gold medal in the eights at the 1964 Olympics.,Emory Wendell Clark II won a gold medal in the singles at the 1964 Olympics.,Emory Wendell Clark II won a bronze medal in the coxless pairs at the 1964 Olympics.,C
"Who directed the 1951 American Western film ""Oh! Susanna""?",Chill Wills,Charles Marquis Warren,Joseph Kane,Lorna Gray,Rod Cameron,C
What is the population of Los Ranchos de Albuquerque according to the 2010 Census?,"The population of Los Ranchos de Albuquerque was 5,000 at the time of the 2010 Census.","The population of Los Ranchos de Albuquerque was 10,000 at the time of the 2010 Census.","The population of Los Ranchos de Albuquerque was 6,024 at the time of the 2010 Census.",The population of Los Ranchos de Albuquerque was not recorded in the 2010 Census.,"The population of Los Ranchos de Albuquerque was 7,500 at the time of the 2010 Census.",C
How many nations participated in the men's 200 metres sprint event at the 1948 Summer Olympics?,28,22,51,3,48,A
What is the nature of the Bi-Beast character in Marvel Comics?,"The Bi-Beast is a fierce villain, often causing chaos and attempting to defeat the Avengers.",The Bi-Beast is a humanoid creature who can shapeshift into any form it desires.,"The Bi-Beast is a heroic superhero, known for saving the day numerous times and fighting alongside the Avengers.",The Bi-Beast is a peaceful creature who prefers solitude and avoids getting involved with any conflicts.,"The Bi-Beast is a highly intelligent robot, created by Tony Stark to aid in world peacekeeping efforts.",A
"Who directed the 1940 American adventure film ""The Phantom Submarine""?",Victor Wong,Oscar O'Shea,Charles Barton,Joseph Krumgold,Anita Louise,C
"What age group does the Gibraltar College in the British Overseas Territory of Gibraltar focus on, and what culture does it promote?","The Gibraltar College focuses on the adult age group, promoting a culture of recreational activities.","The Gibraltar College focuses on the post-18 age group, promoting a culture of artistic expression.","The Gibraltar College focuses on the post-16 age group, promoting a culture of lifelong learning.","The Gibraltar College focuses on the post-18 age group, promoting a culture of career development.","The Gibraltar College focuses on the post-16 age group, promoting a culture of athletic excellence.",C
How many tracks does the Tremont Avenue station on the IND Concourse Line have?,The Tremont Avenue station has three tracks and one island platform.,The Tremont Avenue station has two tracks and two island platforms.,The Tremont Avenue station has two tracks and one island platform.,The Tremont Avenue station has three tracks and two island platforms.,The Tremont Avenue station has one track and one island platform.,B
"How tall is the Rothschild 22 Tower in Israel, including a decorative mast?",29 stories,9-meter tall decorative mast,117.9 meters,1.9 dunam,22 stories,B
"What is the population of Colo, a city in Story County, Iowa, based on the 2020 census?",698,972,"1,053",512,845,E
Where is Neko Harbour located?,Neko Harbour is an inlet on the central coast of Graham Land.,Neko Harbour is an inlet on the east coast of Graham Land.,Neko Harbour is an inlet on the south coast of Graham Land.,Neko Harbour is an inlet on the north coast of Graham Land.,Neko Harbour is an inlet on the west coast of Graham Land.,E
When was Wudinna proclaimed a town in South Australia?,Wudinna was proclaimed a town in 1916.,Wudinna was proclaimed a town in 1861.,Wudinna was proclaimed a town in 10 square miles.,Wudinna was proclaimed a town in the centre of Eyre Peninsula.,Wudinna was proclaimed a town in Weedna Hill.,A
What is the total area of the Nyskie Lake in Poland?,The total area of the lake is 5000 hectares.,The total area of the lake is 200 hectares.,The total area of the lake is 1000 hectares.,The total area of the lake is 2000 hectares.,"The total area of the lake is 10,000 hectares.",D
"What was the cover for the single ""Winter Passing"" by The Academy Is... painted by Andrew ""The Butcher"" Mrotek during?","The cover was painted during a live performance of the song ""Winter Passing"".",The cover was painted during the final month of the Bill & Trav's Bogus Journey Tour.,"The cover was painted during The Academy Is...'s tour in support of their album ""Santi"".","The cover was painted during the band's hiatus after the release of ""Santi"".",The cover was painted during the recording sessions for the single in a studio.,B
Which regions is Opuntia humifusa commonly found in?,Opuntia humifusa is commonly found in the western United States and South America.,Opuntia humifusa is commonly found in the Arctic region.,Opuntia humifusa is commonly found in parts of Africa and Europe.,"Opuntia humifusa is commonly found in parts of the eastern United States, Mississippi and northeastern Mexico.",Opuntia humifusa is commonly found in Asia and Australia.,D
What was the purpose of the Halton Railway?,The Halton Railway was a historical railway known for its significant contributions to the transportation industry.,The Halton Railway was a tourist attraction that offered scenic rides from Wendover to RAF Halton.,The Halton Railway was a railway line that connected RAF Halton to other military bases in the area.,The Halton Railway was a spur line used to transport coal and other goods to RAF Halton.,The Halton Railway was a transportation system used by RAF Halton personnel to commute to and from work.,D
"Who coined the name ""Indianapolis"" for the new state capital?",George Washington,Benjamin Franklin,Alexander Hamilton,Jeremiah C. Sullivan,Thomas Jefferson,D
"What is the claim made by Golwg, a Welsh-language magazine, regarding its circulation?","Golwg magazine claims a monthly circulation of 12,000, the largest circulation of any magazine in Wales.","Golwg magazine claims a weekly circulation of 15,000, surpassing all other magazines in Wales.","Golwg magazine claims a monthly circulation of 8,000, making it one of the most popular magazines in Wales.","Golwg magazine claims a monthly circulation of 10,000, the highest among Welsh-language magazines in Wales.","Golwg magazine claims a weekly circulation of 20,000, establishing itself as the leading magazine in Wales.",A
What teams did Joonas Komulainen play for in the Finnish Liiga?,"HPK, Ilves, Pelicans, and KooKoo","Kärpät, TPS, HIFK, and Pelicans","JYP, Tappara, HIFK, and TPS","SaiPa, Jukurit, Lahti Pelicans, and JYP","KalPa, Oulun Kärpät, Lukko, and Vaasan Sport",E
What is a common reason for using a dog crate?,Toilet training a new puppy.,Giving a dog a place to go when visitors come to the house.,Providing a place of refuge for the dog when traveling to new surroundings.,Keeping a dog securely during transportation.,Allowing a dog to roam freely in locations where it is not legally allowed.,D
What official position did Orson Ferguson Whitney hold in the Church of Jesus Christ of Latter-day Saints?,General Relief Society President,President of the Church,Bishop of Salt Lake City,Member of the Quorum of the Twelve Apostles,Mission President,D
"What was Elizabeth ""Betty"" Hahn Bernbaum known for?","Elizabeth ""Betty"" Hahn Bernbaum was known for her contributions to the field of literature.","Elizabeth ""Betty"" Hahn Bernbaum was known for her involvement in political activities.","Elizabeth ""Betty"" Hahn Bernbaum was known for her professional career as an ambassador.","Elizabeth ""Betty"" Hahn Bernbaum was known for her expertise in amateur radio communications.","Elizabeth ""Betty"" Hahn Bernbaum was known for her advocacy work in Latin American countries.",D
"What is the geographical location of Jesus People USA (JPUSA), a Christian intentional community?","Suburban Chicago, Illinois","Downtown Chicago, Illinois","West Side of Chicago, Illinois","Uptown, on the North Side of Chicago, Illinois","South Side of Chicago, Illinois",D
What is Oleksandr Bondarenko known for based on the provided Wikipedia excerpt?,Oleksandr Bondarenko is known for his expertise in the field of environmental conservation.,Oleksandr Bondarenko is known for his contributions to the field of medicine.,Oleksandr Bondarenko is known for his accomplishments as a professional athlete.,Oleksandr Bondarenko is known for his role as a Ukrainian politician and former Governor of Dnipropetrovsk Oblast.,Oleksandr Bondarenko is known for his career as an economist and businessman. ,D
Who were the original members of The Red Krayola avant rock band?,"Mayo Thompson, Frederick Barthelme, and Hugh Hopper.","Mayo Thompson, Frederick Barthelme, and Eugene Chadbourne.","Mayo Thompson, Frederick Barthelme, and Steve Cunningham.","Mayo Thompson, Frederick Barthelme, and Gil-Scott Heron.","Mayo Thompson, Frederick Barthelme, and John Fahey.",C
What was the focus of Powderfinger's album Odyssey Number Five?,Odyssey Number Five focused on storytelling through fictional narratives and imaginative lyrics.,Odyssey Number Five focused on showcasing the band's technical instrumental skills with complex compositions and solos.,"Odyssey Number Five focused on personal experiences and introspective themes, delving into emotions and self-reflection.",Odyssey Number Five focused on celebrating Australian heritage and culture through songs about landmarks and history.,Odyssey Number Five focused on exploring experimental musical elements and pushing genre boundaries.,C
Which two municipalities have gained population since 1980 in the Quirinópolis Microregion?,"Caçu, São Simão","Quirinópolis, Cachoeira Alta","Lagoa Santa, Cachoeira Alta","Itarumã, Gouvelândia","Paranaiguara, Itajá",E
What is the primary function of a pseudolite?,Pseudolites are used to track and monitor satellite orbits in real-time.,Pseudolites serve as backups for satellite navigation systems in case of signal disruptions.,Pseudolites act as miniaturized satellites and provide direct broadcast services.,Pseudolites are transmitters that enable communication between different GPS devices.,"Pseudolites are small transceivers that create a local, ground-based alternative for the Global Positioning System (GPS).",E
"How many households are estimated to be living in Tōhoku town in Aomori Prefecture, Japan, as of 31 December 2022 based on the provided Wikipedia excerpt?",7251 households,7269 households,16525 households,7251 households in 7269 households,7269 households in 7251 households,A
"What was ""Dichiarazioni d'amore"" premiered at during the 51st Venice International Film Festival?",In competition,As the opening film,As the closing film,Out of competition,It was not premiered at the 51st Venice International Film Festival.,D
Which company owns the radio station KPYN and what format does it broadcast?,KPYN is owned by Entercom Communications and broadcasts a Sports format.,KPYN is owned by iHeartMedia and broadcasts a Country format.,KPYN is owned by Beasley Broadcast Group and broadcasts a Top 40 format.,KPYN is owned by Cumulus Media and broadcasts a Classic Rock format.,KPYN is owned by Freed AM Corp. and broadcasts a News-Talk format.,E
"In which campaigns did the 7th Anti-Tank Regiment serve during the Second World War, as mentioned in Wikipedia?","The 7th Anti-Tank Regiment served during the Pacific, African, and Middle Eastern campaigns.","The 7th Anti-Tank Regiment served during the Greek, Scandinavian, and Balkan campaigns.","The 7th Anti-Tank Regiment served during the Greek, North African, Tunisian, and Italian campaigns.","The 7th Anti-Tank Regiment served during the Asian, African, and Eastern European campaigns.","The 7th Anti-Tank Regiment served during the British, Pacific, and European campaigns.",C
What county is Feričanci located in?,"Feričanci is located in Split-Dalmatia County, Croatia.","Feričanci is located in Osijek-Baranja County, Croatia.","Feričanci is located in Primorje-Gorski Kotar County, Croatia.","Feričanci is located in Zagreb County, Croatia.","Feričanci is located in Zadar County, Croatia.",B
How is María Chinchilla honored in Guatemala?,"María Chinchilla was a prominent figure in the Guatemalan government, serving as the Minister of Education.",María Chinchilla was awarded the Nobel Peace Prize for her efforts in promoting peace and human rights.,María Chinchilla is commemorated through a national holiday dedicated to honoring her contributions to education in Guatemala.,María Chinchilla is remembered for her distinguished military career and her bravery in combat.,"María Chinchilla was a successful entrepreneur, known for her philanthropic endeavors and charitable organizations.",C
What is Parakkal Unnikrishnan known for in the music industry?,"Parakkal Unnikrishnan is known for his contributions as a music director, conductor, and arranger in the Indian music industry. His expertise in orchestration has enhanced the soundscapes of various compositions.","Parakkal Unnikrishnan is known for his expertise as a playback singer in the Indian film industry. His soulful voice has graced many popular movie soundtracks, captivating audiences worldwide.",Parakkal Unnikrishnan is known for his extensive research and scholarly work in the field of ethnomusicology. His studies have shed light on the historical development and cultural significance of Indian classical music.,"Parakkal Unnikrishnan is known for his unique approach to Carnatic vocal music. He incorporates elements of Western music and experimentation, creating a fusion style that has gained widespread recognition.",Parakkal Unnikrishnan is known for his contributions as a composer in the Indian Carnatic music genre. He has composed numerous critically acclaimed pieces that showcase his mastery of classical Indian music.,B
What type of wing configuration does the Saab JAS 39 Gripen have?,The Saab JAS 39 Gripen has a delta wing configuration.,The Saab JAS 39 Gripen has a biplane wing configuration.,The Saab JAS 39 Gripen has a swept wing configuration.,The Saab JAS 39 Gripen has a variable-geometry wing configuration.,The Saab JAS 39 Gripen has a straight wing configuration.,A
Who is the current leader of the Christian Democrats in Sweden?,"The current leader of the Christian Democrats in Sweden is Göran Hägglund, who had been leader since 2004.","The current leader of the Christian Democrats in Sweden is Annie Lööf, who has held the position since 2011.","The current leader of the Christian Democrats in Sweden is Jan Björklund, who assumed leadership in 2019.","The current leader of the Christian Democrats in Sweden is Mats Odell, who has been in office since 2004.","The current leader of the Christian Democrats in Sweden is Ebba Busch, who succeeded Göran Hägglund in 2015.",E
"Who wrote and produced the song ""Speak Out Now"" by Oh Land?",Oh Land,Nanna Øland Fabricius and Kristian Leth,"Nanna Øland Fabricius, Kristian Leth, and Fridolin Nordsø",Fake Diamond Records,Oh Land and Fake Diamond Records,C
What team won the 2005-06 UEFA Cup?,Steaua București.,Sevilla.,Middlesbrough.,FC Basel.,None of the above.,B
What is the primary export of the municipality of Peč in the Czech Republic?,Textile industry goods,Agricultural products,Artisan handicrafts,Automotive parts,Beer and alcoholic beverages,B
"How did Kelly-Anne Lyons achieve her breakthrough role in the BBC comedy ""Dick and Dom's Funny Business""?","Lyons played the character ""Felicity Bond"" in the BAFTA nominated BBC comedy ""DNN"".","Lyons played various characters in hidden camera sketch shows such as ""Fool Britannia"".","Lyons played the character ""Kelly-Anne Manhattan"" in the BBC comedy ""Dick and Dom's Funny Business"".","Lyons played the character ""Tess"" in BBC's sitcom ""Badults"".","Lyons played the title role in Chelsey: OMG!, produced by British comedy and entertainment company Channel X.",C
"What was the main focus of the Manassas Industrial School for Colored Youth, as described in the provided Wikipedia excerpt?","The Manassas Industrial School for Colored Youth primarily focused on providing academic education for African-American children in Manassas, Virginia.",The Manassas Industrial School for Colored Youth primarily focused on promoting the importance of arts and culture among African-American youth.,The Manassas Industrial School for Colored Youth primarily focused on promoting sports and physical fitness among African-American children.,The Manassas Industrial School for Colored Youth primarily focused on preparing African-American children for higher education opportunities.,The Manassas Industrial School for Colored Youth primarily focused on providing vocational education for African-American youth of both sexes.,E
